district,elevation,monthly_rainfall_mm,avg_temp_c,soil_nitrogen,soil_phosphorus,soil_potassium,soil_ph,fertilizer_type,drainage_quality,yield_mt_per_hec,recorded_date
Matale,Mid,140.8,27.1,23.9,16.9,57.5,5.0,Combo,Good,0.723,2013-05-02
Badulla,High,188.1,15.6,35.2,12.9,24.7,4.8,Organic,Fair,0.546,2013-04-02
Badulla,High,231.3,15.9,46.4,15.2,26.4,5.1,Combo,Poor,0.88,2013-03-03
Badulla,High,177.9,19.7,68.7,22.5,36.1,4.7,Combo,Good,1.52,2013-02-01
Kalutara,Low,170.3,28.6,28.5,39.1,23.8,4.9,Combo,Poor,0.796,2013-01-02
Kegalle,Mid,108.0,26.3,41.7,18.0,24.9,5.0,Combo,Poor,0.747,2012-12-03
Kalutara,Low,174.4,30.8,67.4,13.9,29.7,4.9,Organic,Fair,0.784,2012-11-03
Kandy,Mid,121.6,21.7,41.2,16.2,47.1,5.0,Combo,Good,0.989,2012-10-04
Matale,Mid,185.1,21.2,72.3,25.8,44.0,5.1,Combo,Fair,1.792,2012-09-04
Badulla,High,103.1,15.7,38.6,29.4,17.5,4.9,Chemical,Fair,0.623,2012-08-05
Kalutara,Low,265.5,25.7,62.9,18.3,33.6,4.8,Organic,Fair,0.861,2012-07-06
Nuwara Eliya,High,101.1,18.1,77.4,11.8,51.4,4.6,Organic,Poor,0.93,2012-06-06
Kandy,Mid,186.8,27.5,67.9,32.9,57.5,5.2,Combo,Fair,1.559,2012-05-07
Kalutara,Low,259.5,28.4,68.4,27.0,40.8,4.4,Combo,Poor,1.22,2012-04-07
Ratnapura,Low,337.5,30.3,35.9,16.8,56.2,5.3,Combo,Good,0.583,2012-03-08
Ratnapura,Low,294.7,26.5,33.2,28.1,38.3,5.2,Combo,Good,0.762,2012-02-07
Galle,Low,207.1,33.5,32.3,21.6,39.9,4.8,Organic,Fair,0.5,2012-01-08
Kegalle,Mid,235.5,30.1,55.7,21.5,54.0,4.8,Chemical,Poor,0.995,2011-12-09
Kalutara,Low,154.1,30.0,27.5,17.2,43.4,4.8,Chemical,Fair,0.593,2011-11-09
Badulla,High,67.4,21.7,68.4,12.9,28.4,5.0,Organic,Fair,0.773,2011-10-10
Kalutara,Low,140.5,31.1,40.0,39.3,21.7,4.9,Combo,Fair,0.77,2011-09-10
Kandy,Mid,127.2,23.1,30.5,11.2,43.5,5.2,Combo,Good,0.778,2011-08-11
Badulla,High,67.5,24.0,73.4,37.9,16.4,4.6,Chemical,Poor,1.067,2011-07-12
Kegalle,Mid,162.1,25.8,28.7,36.2,39.8,4.8,Organic,Poor,0.704,2011-06-12
Matale,Mid,138.3,27.8,64.3,20.5,34.5,5.1,Chemical,Poor,1.025,2011-05-13
Kalutara,Low,205.1,28.0,55.3,27.9,20.3,4.6,Combo,Good,1.133,2011-04-13
Matale,Mid,140.3,23.5,28.7,12.1,16.9,5.3,Combo,Poor,0.62,2011-03-14
Galle,Low,202.2,29.6,79.4,34.7,31.8,4.9,Chemical,Good,1.384,2011-02-12
Ratnapura,Low,247.0,23.4,41.3,25.0,35.5,4.7,Combo,Poor,1.059,2011-01-13
Ratnapura,Low,162.4,30.9,78.5,39.6,32.7,4.8,Combo,Poor,1.313,2010-12-14
Kegalle,Mid,273.1,29.2,22.0,38.6,17.9,4.8,Combo,Poor,0.59,2010-11-14
Kegalle,Mid,126.3,27.5,53.0,21.2,34.9,5.2,Combo,Fair,0.95,2010-10-15
Galle,Low,155.3,25.2,64.1,28.3,40.2,5.2,Combo,Fair,1.387,2010-09-15
Badulla,High,98.9,21.4,24.8,36.2,31.4,4.8,Chemical,Good,0.719,2010-08-16
Galle,Low,291.4,33.2,76.7,11.7,21.6,5.4,Chemical,Good,0.741,2010-07-17
Matale,Mid,77.7,27.0,20.3,21.9,56.2,5.2,Combo,Poor,0.579,2010-06-17
Matale,Mid,88.0,24.6,40.5,39.6,58.8,5.5,Organic,Good,0.782,2010-05-18
Galle,Low,166.0,26.1,25.9,27.1,47.1,5.1,Organic,Fair,0.646,2010-04-18
Galle,Low,160.5,28.5,63.4,25.2,52.1,5.0,Organic,Good,0.946,2010-03-19
Badulla,High,105.1,15.6,29.5,32.8,47.8,4.8,Combo,Fair,0.736,2010-02-17
Kandy,Mid,246.2,19.6,34.5,21.2,19.6,5.5,Chemical,Good,0.74,2010-01-18
Nuwara Eliya,High,210.1,14.6,23.2,36.3,38.7,4.5,Chemical,Poor,0.737,2009-12-19
Kalutara,Low,285.0,31.9,27.4,36.1,24.0,4.7,Organic,Poor,0.417,2009-11-19
Galle,Low,212.7,24.4,22.8,33.1,34.9,5.1,Chemical,Good,0.835,2009-10-20
Galle,Low,162.5,31.4,50.4,36.7,21.4,5.0,Organic,Poor,0.677,2009-09-20
Badulla,High,53.3,22.2,22.4,20.1,27.8,4.8,Organic,Good,0.391,2009-08-21
Galle,Low,147.9,28.4,76.0,16.5,32.6,5.2,Combo,Good,1.22,2009-07-22
Nuwara Eliya,High,133.8,20.8,30.2,22.2,20.1,5.0,Chemical,Good,0.685,2009-06-22
Galle,Low,319.3,29.9,71.8,19.9,24.0,5.2,Chemical,Fair,0.791,2009-05-23
Kalutara,Low,268.5,29.7,44.0,28.3,37.0,4.9,Organic,Fair,0.63,2009-04-23
Ratnapura,Low,283.4,23.4,41.0,10.2,50.2,5.2,Combo,Good,0.91,2009-03-24
Nuwara Eliya,High,279.0,16.1,22.6,39.8,54.6,5.1,Chemical,Poor,0.723,2009-02-22
Ratnapura,Low,197.9,31.2,63.3,31.3,34.3,5.2,Combo,Good,1.19,2009-01-23
Matale,Mid,104.3,25.8,45.8,18.7,35.7,5.0,Organic,Poor,0.637,2008-12-24
Kalutara,Low,194.0,24.5,78.7,14.6,35.0,5.0,Combo,Poor,1.648,2008-11-24
Galle,Low,166.5,27.5,50.9,16.5,37.1,5.2,Organic,Fair,0.76,2008-10-25
Ratnapura,Low,332.8,28.2,50.0,30.7,59.7,5.2,Chemical,Good,0.804,2008-09-25
Kalutara,Low,213.6,28.0,31.2,39.4,46.7,4.6,Combo,Fair,1.028,2008-08-26
Matale,Mid,182.9,26.8,59.7,14.5,38.9,5.3,Chemical,Poor,1.115,2008-07-27
Galle,Low,284.8,33.7,26.8,36.6,49.8,4.9,Combo,Fair,0.592,2008-06-27
Matale,Mid,112.2,29.2,59.3,34.9,16.3,5.3,Chemical,Fair,0.852,2008-05-28
Kandy,Mid,187.8,28.5,46.8,33.0,42.6,5.4,Combo,Poor,1.137,2008-04-28
Galle,Low,232.5,29.2,29.4,28.7,36.6,5.4,Organic,Good,0.584,2008-03-29
Matale,Mid,153.1,29.1,48.6,10.8,57.9,5.2,Combo,Fair,0.955,2008-02-28
Kandy,Mid,83.1,22.0,69.1,15.3,26.0,5.1,Organic,Good,0.842,2008-01-29
Nuwara Eliya,High,278.0,20.5,46.8,23.0,46.1,4.7,Chemical,Good,1.001,2007-12-30
Matale,Mid,152.1,27.4,48.5,30.4,37.1,5.6,Combo,Poor,1.065,2007-11-30
Kalutara,Low,171.9,23.2,60.6,19.8,15.4,4.6,Combo,Good,1.27,2007-10-31
Ratnapura,Low,280.3,25.7,79.6,20.4,32.7,5.0,Combo,Poor,1.311,2007-10-01
Kegalle,Mid,115.3,25.9,26.2,35.7,56.0,5.0,Chemical,Good,0.797,2007-09-01
Kalutara,Low,187.7,29.2,77.8,16.7,24.9,4.6,Organic,Good,0.971,2007-08-02
Nuwara Eliya,High,290.9,12.7,38.5,34.4,48.0,4.7,Organic,Poor,0.567,2007-07-03
Ratnapura,Low,294.6,24.7,59.3,21.0,23.9,5.2,Organic,Poor,0.759,2007-06-03
Ratnapura,Low,290.3,23.2,35.7,28.0,46.8,4.8,Combo,Fair,0.944,2007-05-04
Kegalle,Mid,144.2,22.5,65.0,17.5,56.2,5.0,Chemical,Fair,1.364,2007-04-04
Matale,Mid,103.0,24.0,74.4,25.1,44.3,5.1,Combo,Good,1.36,2007-03-05
Kegalle,Mid,227.9,28.8,70.6,39.7,37.6,5.2,Chemical,Poor,1.3,2007-02-03
Galle,Low,205.6,30.9,38.1,36.0,21.6,5.2,Combo,Poor,0.854,2007-01-04
Galle,Low,266.7,30.1,56.0,30.0,43.0,5.1,Chemical,Fair,0.915,2006-12-05
Kegalle,Mid,286.0,23.0,37.5,28.2,31.4,4.9,Chemical,Fair,0.834,2006-11-05
Kandy,Mid,91.5,22.2,41.8,11.5,22.3,5.2,Combo,Poor,0.747,2006-10-06
Galle,Low,169.2,25.7,43.1,24.5,53.0,5.2,Chemical,Good,1.055,2006-09-06
Kalutara,Low,234.3,31.1,74.0,12.6,52.7,4.4,Organic,Fair,0.885,2006-08-07
Kandy,Mid,191.9,23.3,54.9,21.9,51.1,5.1,Organic,Poor,1.119,2006-07-08
Matale,Mid,184.4,28.5,25.7,37.2,28.0,5.1,Organic,Poor,0.605,2006-06-08
Kegalle,Mid,215.4,30.0,54.9,38.0,18.2,4.8,Organic,Fair,0.81,2006-05-09
Kegalle,Mid,141.9,30.0,76.5,32.5,26.4,4.9,Chemical,Fair,1.108,2006-04-09
Matale,Mid,84.2,24.1,58.6,22.1,30.0,5.6,Organic,Fair,0.744,2006-03-10
Nuwara Eliya,High,275.8,19.1,33.3,27.2,21.3,4.9,Chemical,Fair,0.698,2006-02-08
Matale,Mid,190.3,21.1,59.2,10.7,57.9,5.2,Organic,Poor,1.137,2006-01-09
Kegalle,Mid,236.0,25.2,63.8,25.6,19.8,4.9,Chemical,Good,1.174,2005-12-10
Galle,Low,136.3,28.2,30.1,26.6,49.6,5.0,Combo,Fair,0.786,2005-11-10
Kegalle,Mid,268.0,26.1,25.0,28.8,24.6,5.0,Chemical,Good,0.612,2005-10-11
Kegalle,Mid,255.3,28.0,61.1,39.8,32.0,5.3,Chemical,Good,1.109,2005-09-11
Badulla,High,52.8,19.3,21.8,20.1,44.7,4.7,Organic,Poor,0.403,2005-08-12
Nuwara Eliya,High,181.5,15.8,38.5,33.0,34.7,5.0,Combo,Good,0.984,2005-07-13
Kalutara,Low,197.8,30.2,78.3,15.0,46.6,4.5,Chemical,Fair,1.26,2005-06-13
Ratnapura,Low,325.4,28.9,56.5,18.9,31.5,4.9,Chemical,Poor,0.709,2005-05-14
Matale,Mid,116.1,27.2,67.7,37.9,20.4,5.3,Chemical,Poor,1.057,2005-04-14
Kegalle,Mid,117.6,29.6,57.4,24.0,15.6,5.1,Organic,Fair,0.627,2005-03-15
Kandy,Mid,191.3,19.9,37.9,14.2,54.7,5.3,Organic,Good,0.838,2005-02-13
Matale,Mid,215.3,27.3,67.1,27.2,16.9,5.3,Chemical,Poor,1.184,2005-01-14
Ratnapura,Low,196.9,28.9,52.6,22.7,52.8,5.0,Chemical,Fair,1.099,2004-12-15
Ratnapura,Low,231.7,31.9,35.8,14.5,49.0,4.8,Combo,Fair,0.713,2004-11-15
Ratnapura,Low,343.2,28.9,33.1,16.1,59.7,5.2,Chemical,Poor,0.547,2004-10-16
Ratnapura,Low,175.8,23.3,65.2,29.1,44.1,5.0,Combo,Poor,1.61,2004-09-16
Kalutara,Low,235.6,23.7,43.2,28.3,27.5,4.6,Chemical,Good,1.008,2004-08-17
Kandy,Mid,141.4,27.8,21.3,37.1,23.1,5.3,Chemical,Poor,0.596,2004-07-18
Kalutara,Low,152.8,30.9,65.0,17.1,36.6,4.5,Chemical,Fair,0.915,2004-06-18
Nuwara Eliya,High,266.6,15.3,43.2,15.7,50.8,4.9,Combo,Poor,0.857,2004-05-19
